x,y,group
-135.22033375536236,-135.22033375536236,baseline
-134.2544927927268,-134.2544927927268,baseline
-133.28865183009125,-133.28865183009125,baseline
-132.3228108674557,-132.3228108674557,baseline
-131.35696990482018,-131.35696990482018,baseline
-130.39112894218462,-130.39112894218462,baseline
-129.42528797954907,-129.42528797954907,baseline
-128.45944701691351,-128.45944701691351,baseline
-127.49360605427796,-127.49360605427796,baseline
-126.52776509164242,-126.52776509164242,baseline
-125.56192412900688,-125.56192412900688,baseline
-124.59608316637133,-124.59608316637133,baseline
-123.63024220373578,-123.63024220373578,baseline
-122.66440124110022,-122.66440124110022,baseline
-121.69856027846468,-121.69856027846468,baseline
-120.73271931582913,-120.73271931582913,baseline
-119.76687835319359,-119.76687835319359,baseline
-118.80103739055804,-118.80103739055804,baseline
-117.83519642792248,-117.83519642792248,baseline
-116.86935546528694,-116.86935546528694,baseline
-115.90351450265139,-115.90351450265139,baseline
-114.93767354001584,-114.93767354001584,baseline
-113.9718325773803,-113.9718325773803,baseline
-113.00599161474474,-113.00599161474474,baseline
-112.0401506521092,-112.0401506521092,baseline
-111.07430968947365,-111.07430968947365,baseline
-110.1084687268381,-110.1084687268381,baseline
-109.14262776420256,-109.14262776420256,baseline
-108.176786801567,-108.176786801567,baseline
-107.21094583893147,-107.21094583893147,baseline
-106.24510487629591,-106.24510487629591,baseline
-105.27926391366036,-105.27926391366036,baseline
-104.31342295102482,-104.31342295102482,baseline
-103.34758198838927,-103.34758198838927,baseline
-102.38174102575371,-102.38174102575371,baseline
-101.41590006311817,-101.41590006311817,baseline
-100.45005910048262,-100.45005910048262,baseline
-99.48421813784708,-99.48421813784708,baseline
-98.51837717521153,-98.51837717521153,baseline
-97.55253621257597,-97.55253621257597,baseline
-96.58669524994043,-96.58669524994043,baseline
-95.62085428730488,-95.62085428730488,baseline
-94.65501332466934,-94.65501332466934,baseline
-93.68917236203379,-93.68917236203379,baseline
-92.72333139939823,-92.72333139939823,baseline
-91.7574904367627,-91.7574904367627,baseline
-90.79164947412714,-90.79164947412714,baseline
-89.82580851149159,-89.82580851149159,baseline
-88.85996754885605,-88.85996754885605,baseline
-87.8941265862205,-87.8941265862205,baseline
-86.92828562358496,-86.92828562358496,baseline
-85.9624446609494,-85.9624446609494,baseline
-84.99660369831385,-84.99660369831385,baseline
-84.03076273567831,-84.03076273567831,baseline
-83.06492177304276,-83.06492177304276,baseline
-82.0990808104072,-82.0990808104072,baseline
-81.13323984777166,-81.13323984777166,baseline
-80.16739888513611,-80.16739888513611,baseline
-79.20155792250057,-79.20155792250057,baseline
-78.23571695986502,-78.23571695986502,baseline
-77.26987599722946,-77.26987599722946,baseline
-76.30403503459392,-76.30403503459392,baseline
-75.33819407195837,-75.33819407195837,baseline
-74.37235310932283,-74.37235310932283,baseline
-73.40651214668728,-73.40651214668728,baseline
-72.44067118405172,-72.44067118405172,baseline
-71.47483022141618,-71.47483022141618,baseline
-70.50898925878063,-70.50898925878063,baseline
-69.54314829614508,-69.54314829614508,baseline
-68.57730733350954,-68.57730733350954,baseline
-67.61146637087398,-67.61146637087398,baseline
-66.64562540823844,-66.64562540823844,baseline
-65.67978444560289,-65.67978444560289,baseline
-64.71394348296734,-64.71394348296734,baseline
-63.7481025203318,-63.7481025203318,baseline
-62.782261557696245,-62.782261557696245,baseline
-61.816420595060706,-61.816420595060706,baseline
-60.85057963242514,-60.85057963242514,baseline
-59.88473866978961,-59.88473866978961,baseline
-58.91889770715406,-58.91889770715406,baseline
-57.953056744518506,-57.953056744518506,baseline
-56.98721578188295,-56.98721578188295,baseline
-56.0213748192474,-56.0213748192474,baseline
-55.05553385661187,-55.05553385661187,baseline
-54.08969289397632,-54.08969289397632,baseline
-53.123851931340766,-53.123851931340766,baseline
-52.15801096870521,-52.15801096870521,baseline
-51.19217000606966,-51.19217000606966,baseline
-50.226329043434134,-50.226329043434134,baseline
-49.26048808079858,-49.26048808079858,baseline
-48.29464711816303,-48.29464711816303,baseline
-47.328806155527474,-47.328806155527474,baseline
-46.36296519289192,-46.36296519289192,baseline
-45.397124230256395,-45.397124230256395,baseline
-44.43128326762084,-44.43128326762084,baseline
-43.46544230498529,-43.46544230498529,baseline
-42.499601342349735,-42.499601342349735,baseline
-41.53376037971418,-41.53376037971418,baseline
-40.56791941707863,-40.56791941707863,baseline
-39.6020784544431,-39.6020784544431,baseline
-38.63623749180755,-38.63623749180755,baseline
-37.670396529171995,-37.670396529171995,baseline
-36.70455556653644,-36.70455556653644,baseline
-35.73871460390089,-35.73871460390089,baseline
-34.77287364126536,-34.77287364126536,baseline
-33.80703267862981,-33.80703267862981,baseline
-32.841191715994256,-32.841191715994256,baseline
-31.875350753358703,-31.875350753358703,baseline
-30.90950979072315,-30.90950979072315,baseline
-29.943668828087624,-29.943668828087624,baseline
-28.97782786545207,-28.97782786545207,baseline
-28.011986902816517,-28.011986902816517,baseline
-27.046145940180963,-27.046145940180963,baseline
-26.08030497754541,-26.08030497754541,baseline
-25.114464014909885,-25.114464014909885,baseline
-24.14862305227433,-24.14862305227433,baseline
-23.182782089638778,-23.182782089638778,baseline
-22.216941127003224,-22.216941127003224,baseline
-21.25110016436767,-21.25110016436767,baseline
-20.285259201732117,-20.285259201732117,baseline
-19.319418239096592,-19.319418239096592,baseline
-18.35357727646104,-18.35357727646104,baseline
-17.387736313825485,-17.387736313825485,baseline
-16.42189535118993,-16.42189535118993,baseline
-15.456054388554378,-15.456054388554378,baseline
-14.490213425918853,-14.490213425918853,baseline
-13.5243724632833,-13.5243724632833,baseline
-12.558531500647746,-12.558531500647746,baseline
-11.592690538012192,-11.592690538012192,baseline
-10.626849575376639,-10.626849575376639,baseline
-9.661008612741114,-9.661008612741114,baseline
-8.69516765010556,-8.69516765010556,baseline
-7.729326687470007,-7.729326687470007,baseline
-6.763485724834453,-6.763485724834453,baseline
-5.7976447621989,-5.7976447621989,baseline
-4.8318037995633745,-4.8318037995633745,baseline
-3.865962836927821,-3.865962836927821,baseline
-2.9001218742922674,-2.9001218742922674,baseline
-1.934280911656714,-1.934280911656714,baseline
-0.9684399490211604,-0.9684399490211604,baseline
-0.0025989863856352713,-0.0025989863856352713,baseline
0.9632419762499183,0.9632419762499183,baseline
1.9290829388854718,1.9290829388854718,baseline
2.8949239015210253,2.8949239015210253,baseline
3.860764864156579,3.860764864156579,baseline
4.826605826792132,4.826605826792132,baseline
5.7924467894276574,5.7924467894276574,baseline
6.758287752063211,6.758287752063211,baseline
7.7241287146987645,7.7241287146987645,baseline
8.689969677334318,8.689969677334318,baseline
9.655810639969872,9.655810639969872,baseline
10.621651602605397,10.621651602605397,baseline
11.58749256524095,11.58749256524095,baseline
12.553333527876504,12.553333527876504,baseline
13.519174490512057,13.519174490512057,baseline
14.48501545314761,14.48501545314761,baseline
15.450856415783136,15.450856415783136,baseline
16.41669737841869,16.41669737841869,baseline
17.382538341054243,17.382538341054243,baseline
18.348379303689796,18.348379303689796,baseline
19.31422026632535,19.31422026632535,baseline
20.280061228960875,20.280061228960875,baseline
21.24590219159643,21.24590219159643,baseline
22.211743154231982,22.211743154231982,baseline
23.177584116867536,23.177584116867536,baseline
24.14342507950309,24.14342507950309,baseline
25.109266042138643,25.109266042138643,baseline
26.075107004774168,26.075107004774168,baseline
27.04094796740972,27.04094796740972,baseline
28.006788930045275,28.006788930045275,baseline
28.97262989268083,28.97262989268083,baseline
29.938470855316382,29.938470855316382,baseline
30.904311817951907,30.904311817951907,baseline
31.87015278058746,31.87015278058746,baseline
32.835993743223014,32.835993743223014,baseline
33.80183470585857,33.80183470585857,baseline
34.76767566849412,34.76767566849412,baseline
35.733516631129646,35.733516631129646,baseline
36.6993575937652,36.6993575937652,baseline
37.66519855640075,37.66519855640075,baseline
38.63103951903631,38.63103951903631,baseline
39.59688048167186,39.59688048167186,baseline
40.562721444307385,40.562721444307385,baseline
41.52856240694294,41.52856240694294,baseline
42.49440336957849,42.49440336957849,baseline
43.460244332214046,43.460244332214046,baseline
44.4260852948496,44.4260852948496,baseline
45.391926257485125,45.391926257485125,baseline
46.35776722012068,46.35776722012068,baseline
47.32360818275623,47.32360818275623,baseline
48.289449145391785,48.289449145391785,baseline
49.25529010802734,49.25529010802734,baseline
50.22113107066289,50.22113107066289,baseline
51.18697203329842,51.18697203329842,baseline
52.15281299593397,52.15281299593397,baseline
53.118653958569524,53.118653958569524,baseline
54.08449492120508,54.08449492120508,baseline
55.05033588384063,55.05033588384063,baseline
56.01617684647616,56.01617684647616,baseline
56.98201780911171,56.98201780911171,baseline
57.94785877174726,57.94785877174726,baseline
58.91369973438282,58.91369973438282,baseline
59.87954069701837,59.87954069701837,baseline
60.845381659653896,60.845381659653896,baseline
61.81122262228945,61.81122262228945,baseline
62.777063584925,62.777063584925,baseline
63.742904547560556,63.742904547560556,baseline
64.70874551019611,64.70874551019611,baseline
65.67458647283163,65.67458647283163,baseline
66.64042743546719,66.64042743546719,baseline
67.60626839810277,67.60626839810277,baseline
68.5721093607383,68.5721093607383,baseline
69.53795032337382,69.53795032337382,baseline
70.5037912860094,70.5037912860094,baseline
71.46963224864493,71.46963224864493,baseline
72.43547321128051,72.43547321128051,baseline
73.40131417391603,73.40131417391603,baseline
74.36715513655156,74.36715513655156,baseline
75.33299609918714,75.33299609918714,baseline
76.29883706182267,76.29883706182267,baseline
77.26467802445825,77.26467802445825,baseline
78.23051898709377,78.23051898709377,baseline
79.1963599497293,79.1963599497293,baseline
80.16220091236488,80.16220091236488,baseline
81.1280418750004,81.1280418750004,baseline
82.09388283763599,82.09388283763599,baseline
83.05972380027151,83.05972380027151,baseline
84.02556476290704,84.02556476290704,baseline
84.99140572554262,84.99140572554262,baseline
85.95724668817815,85.95724668817815,baseline
86.92308765081373,86.92308765081373,baseline
87.88892861344925,87.88892861344925,baseline
88.85476957608478,88.85476957608478,baseline
89.82061053872036,89.82061053872036,baseline
90.78645150135588,90.78645150135588,baseline
91.75229246399147,91.75229246399147,baseline
92.71813342662699,92.71813342662699,baseline
93.68397438926252,93.68397438926252,baseline
94.6498153518981,94.6498153518981,baseline
95.61565631453362,95.61565631453362,baseline
96.5814972771692,96.5814972771692,baseline
97.54733823980473,97.54733823980473,baseline
98.51317920244026,98.51317920244026,baseline
99.47902016507584,99.47902016507584,baseline
100.44486112771136,100.44486112771136,baseline
101.41070209034694,101.41070209034694,baseline
102.37654305298247,102.37654305298247,baseline
103.34238401561805,103.34238401561805,baseline
104.30822497825358,104.30822497825358,baseline
105.2740659408891,105.2740659408891,baseline
106.23990690352468,106.23990690352468,baseline
107.20574786616021,107.20574786616021,baseline
108.17158882879579,108.17158882879579,baseline
109.13742979143132,109.13742979143132,baseline
110.10327075406684,110.10327075406684,baseline
111.06911171670242,111.06911171670242,baseline
112.03495267933795,112.03495267933795,baseline
113.00079364197353,113.00079364197353,baseline
113.96663460460906,113.96663460460906,baseline
114.93247556724458,114.93247556724458,baseline
115.89831652988016,115.89831652988016,baseline
116.86415749251569,116.86415749251569,baseline
117.82999845515127,117.82999845515127,baseline
118.7958394177868,118.7958394177868,baseline
119.76168038042232,119.76168038042232,baseline
120.7275213430579,120.7275213430579,baseline
121.69336230569343,121.69336230569343,baseline
122.65920326832901,122.65920326832901,baseline
123.62504423096453,123.62504423096453,baseline
124.59088519360006,124.59088519360006,baseline
125.55672615623564,125.55672615623564,baseline
126.52256711887117,126.52256711887117,baseline
127.48840808150675,127.48840808150675,baseline
128.45424904414227,128.45424904414227,baseline
129.4200900067778,129.4200900067778,baseline
130.38593096941338,130.38593096941338,baseline
131.3517719320489,131.3517719320489,baseline
132.3176128946845,132.3176128946845,baseline
133.28345385732,133.28345385732,baseline
134.24929481995554,134.24929481995554,baseline
135.21513578259112,135.21513578259112,baseline
136.18097674522664,136.18097674522664,baseline
137.14681770786223,137.14681770786223,baseline
138.11265867049775,138.11265867049775,baseline
139.07849963313328,139.07849963313328,baseline
140.04434059576886,140.04434059576886,baseline
141.01018155840438,141.01018155840438,baseline
141.97602252103997,141.97602252103997,baseline
142.9418634836755,142.9418634836755,baseline
143.90770444631102,143.90770444631102,baseline
144.8735454089466,144.8735454089466,baseline
145.83938637158212,145.83938637158212,baseline
146.8052273342177,146.8052273342177,baseline
147.77106829685323,147.77106829685323,baseline
148.7369092594888,148.7369092594888,baseline
149.70275022212434,149.70275022212434,baseline
150.66859118475986,150.66859118475986,baseline
151.63443214739544,151.63443214739544,baseline
152.60027311003097,152.60027311003097,baseline
153.56611407266655,153.56611407266655,baseline
154.53195503530208,154.53195503530208,baseline
155.4977959979376,155.4977959979376,baseline
156.46363696057318,156.46363696057318,baseline
157.4294779232087,157.4294779232087,baseline
158.3953188858443,158.3953188858443,baseline
159.36115984847982,159.36115984847982,baseline
160.32700081111534,160.32700081111534,baseline
161.29284177375092,161.29284177375092,baseline
162.25868273638645,162.25868273638645,baseline
163.22452369902203,163.22452369902203,baseline
164.19036466165755,164.19036466165755,baseline
165.15620562429308,165.15620562429308,baseline
166.12204658692866,166.12204658692866,baseline
167.0878875495642,167.0878875495642,baseline
168.05372851219977,168.05372851219977,baseline
169.0195694748353,169.0195694748353,baseline
169.98541043747082,169.98541043747082,baseline
170.9512514001064,170.9512514001064,baseline
171.91709236274193,171.91709236274193,baseline
172.8829333253775,172.8829333253775,baseline
173.84877428801303,173.84877428801303,baseline
174.81461525064856,174.81461525064856,baseline
175.78045621328414,175.78045621328414,baseline
176.74629717591966,176.74629717591966,baseline
177.71213813855525,177.71213813855525,baseline
178.67797910119077,178.67797910119077,baseline
179.6438200638263,179.6438200638263,baseline
180.60966102646188,180.60966102646188,baseline
181.5755019890974,181.5755019890974,baseline
182.541342951733,182.541342951733,baseline
183.5071839143685,183.5071839143685,baseline
184.47302487700404,184.47302487700404,baseline
185.43886583963962,185.43886583963962,baseline
186.40470680227514,186.40470680227514,baseline
187.37054776491073,187.37054776491073,baseline
188.33638872754625,188.33638872754625,baseline
189.30222969018178,189.30222969018178,baseline
190.26807065281736,190.26807065281736,baseline
191.23391161545288,191.23391161545288,baseline
192.19975257808846,192.19975257808846,baseline
193.165593540724,193.165593540724,baseline
194.13143450335957,194.13143450335957,baseline
195.0972754659951,195.0972754659951,baseline
196.06311642863062,196.06311642863062,baseline
197.0289573912662,197.0289573912662,baseline
197.99479835390173,197.99479835390173,baseline
198.9606393165373,198.9606393165373,baseline
199.92648027917284,199.92648027917284,baseline
200.89232124180836,200.89232124180836,baseline
201.85816220444394,201.85816220444394,baseline
202.82400316707947,202.82400316707947,baseline
203.78984412971505,203.78984412971505,baseline
204.75568509235057,204.75568509235057,baseline
205.7215260549861,205.7215260549861,baseline
206.68736701762168,206.68736701762168,baseline
207.6532079802572,207.6532079802572,baseline
208.6190489428928,208.6190489428928,baseline
209.5848899055283,209.5848899055283,baseline
210.55073086816384,210.55073086816384,baseline
211.51657183079942,211.51657183079942,baseline
212.48241279343495,212.48241279343495,baseline
213.44825375607053,213.44825375607053,baseline
214.41409471870605,214.41409471870605,baseline
215.37993568134158,215.37993568134158,baseline
216.34577664397716,216.34577664397716,baseline
217.31161760661269,217.31161760661269,baseline
218.27745856924827,218.27745856924827,baseline
219.2432995318838,219.2432995318838,baseline
220.20914049451932,220.20914049451932,baseline
221.1749814571549,221.1749814571549,baseline
222.14082241979042,222.14082241979042,baseline
223.106663382426,223.106663382426,baseline
224.07250434506153,224.07250434506153,baseline
225.03834530769706,225.03834530769706,baseline
226.00418627033264,226.00418627033264,baseline
226.97002723296816,226.97002723296816,baseline
227.93586819560375,227.93586819560375,baseline
228.90170915823927,228.90170915823927,baseline
229.8675501208748,229.8675501208748,baseline
230.83339108351038,230.83339108351038,baseline
231.7992320461459,231.7992320461459,baseline
232.76507300878148,232.76507300878148,baseline
233.730913971417,233.730913971417,baseline
234.69675493405254,234.69675493405254,baseline
235.66259589668812,235.66259589668812,baseline
236.62843685932364,236.62843685932364,baseline
237.59427782195922,237.59427782195922,baseline
238.56011878459475,238.56011878459475,baseline
239.52595974723033,239.52595974723033,baseline
240.49180070986586,240.49180070986586,baseline
241.45764167250138,241.45764167250138,baseline
242.42348263513696,242.42348263513696,baseline
243.3893235977725,243.3893235977725,baseline
244.35516456040807,244.35516456040807,baseline
245.3210055230436,245.3210055230436,baseline
246.28684648567912,246.28684648567912,baseline
247.2526874483147,247.2526874483147,baseline
248.21852841095023,248.21852841095023,baseline
249.1843693735858,249.1843693735858,baseline
250.15021033622133,250.15021033622133,baseline
251.11605129885686,251.11605129885686,baseline
252.08189226149244,252.08189226149244,baseline
253.04773322412797,253.04773322412797,baseline
254.01357418676355,254.01357418676355,baseline
254.97941514939907,254.97941514939907,baseline
255.9452561120346,255.9452561120346,baseline
256.9110970746702,256.9110970746702,baseline
257.8769380373057,257.8769380373057,baseline
258.8427789999413,258.8427789999413,baseline
259.8086199625768,259.8086199625768,baseline
260.77446092521234,260.77446092521234,baseline
261.7403018878479,261.7403018878479,baseline
262.70614285048345,262.70614285048345,baseline
263.671983813119,263.671983813119,baseline
264.63782477575455,264.63782477575455,baseline
265.6036657383901,265.6036657383901,baseline
266.56950670102566,266.56950670102566,baseline
267.5353476636612,267.5353476636612,baseline
268.50118862629677,268.50118862629677,baseline
269.4670295889323,269.4670295889323,baseline
270.4328705515678,270.4328705515678,baseline
271.3987115142034,271.3987115142034,baseline
272.3645524768389,272.3645524768389,baseline
273.3303934394745,273.3303934394745,baseline
274.29623440211003,274.29623440211003,baseline
275.26207536474556,275.26207536474556,baseline
276.22791632738114,276.22791632738114,baseline
277.19375729001666,277.19375729001666,baseline
278.15959825265224,278.15959825265224,baseline
279.12543921528777,279.12543921528777,baseline
280.0912801779233,280.0912801779233,baseline
281.0571211405589,281.0571211405589,baseline
282.0229621031944,282.0229621031944,baseline
282.98880306583,282.98880306583,baseline
283.9546440284655,283.9546440284655,baseline
284.9204849911011,284.9204849911011,baseline
285.8863259537366,285.8863259537366,baseline
286.85216691637214,286.85216691637214,baseline
287.8180078790077,287.8180078790077,baseline
288.78384884164325,288.78384884164325,baseline
289.74968980427883,289.74968980427883,baseline
290.71553076691436,290.71553076691436,baseline
291.6813717295499,291.6813717295499,baseline
292.64721269218546,292.64721269218546,baseline
293.613053654821,293.613053654821,baseline
